Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN
SRR12845708,WGS,GRCH38,146,1557256139,PRJNA669945,SAMN16481278,Pathogen.cl,429621844,UCL,Arab American University,2020-03-10,public,"bam,activ_sars2_vcf,sra","s3,gs","s3.us-east-1,gs.US",SRX9312996,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 14,missing,Library_14,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_14,SRP287708,missing
SRR12845709,WGS,GRCH38,146,248548987,PRJNA669945,SAMN16481277,Pathogen.cl,63964053,UCL,Arab American University,2020-03-04,public,"activ_sars2_vcf,sra,bam","gs,s3","gs.US,s3.us-east-1",SRX9312995,uncalculated,uncalculated,"State of Palestine: Bethlehem\, Bethlehem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 13,missing,Library_13,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_13,SRP287708,missing
SRR12845710,WGS,GRCH38,146,2102272218,PRJNA669945,SAMN16481276,Pathogen.cl,544339428,UCL,Arab American University,2020-07-16,public,"bam,sra,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312994,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 11,missing,Library_11,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_11,SRP287708,missing
SRR12845711,WGS,GRCH38,145,1487869077,PRJNA669945,SAMN16481337,Pathogen.cl,376284440,UCL,Arab American University,2020-07-07,public,"sra,activ_sars2_vcf,bam","s3,gs","gs.US,s3.us-east-1",SRX9312993,uncalculated,uncalculated,"State of Palestine: Ramallah\, Jalazon",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 96,missing,Library_96,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_96,SRP287708,missing
SRR12845712,WGS,GRCH38,146,96102400,PRJNA669945,SAMN16481336,Pathogen.cl,22004951,UCL,Arab American University,2020-07-11,public,"bam,activ_sars2_vcf,sra","s3,gs","gs.US,s3.us-east-1",SRX9312992,uncalculated,uncalculated,"State of Palestine: Nablus\, Nablus",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 95,missing,Library_95,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_95,SRP287708,missing
SRR12845713,WGS,GRCH38,146,83804531,PRJNA669945,SAMN16481335,Pathogen.cl,19023119,UCL,Arab American University,2020-07-11,public,"bam,sra,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312991,uncalculated,uncalculated,"State of Palestine: Nablus\, Qusra",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 94,missing,Library_94,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_94,SRP287708,missing
SRR12845714,WGS,GRCH38,146,42279950,PRJNA669945,SAMN16481334,Pathogen.cl,9585256,UCL,Arab American University,2020-06-22,public,"bam,sra,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312990,uncalculated,uncalculated,"State of Palestine: Hebron\, Fawwar",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 90,missing,Library_90,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_90,SRP287708,missing
SRR12845715,WGS,GRCH38,146,26154751,PRJNA669945,SAMN16481333,Pathogen.cl,6040833,UCL,Arab American University,2020-06-25,public,"activ_sars2_vcf,bam,sra","s3,gs","gs.US,s3.us-east-1",SRX9312989,uncalculated,uncalculated,"State of Palestine: Nablus\, Nablus",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 89,missing,Library_89,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_89,SRP287708,missing
SRR12845716,WGS,GRCH38,146,22408891,PRJNA669945,SAMN16481332,Pathogen.cl,5048107,UCL,Arab American University,2020-06-22,public,"bam,activ_sars2_vcf,sra","s3,gs","s3.us-east-1,gs.US",SRX9312988,uncalculated,uncalculated,"State of Palestine: Hebron\, Halhoul",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 88,missing,Library_88,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_88,SRP287708,missing
SRR12845717,WGS,GRCH38,146,192026914,PRJNA669945,SAMN16481331,Pathogen.cl,45034771,UCL,Arab American University,2020-06-22,public,"bam,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX9312987,uncalculated,uncalculated,"State of Palestine: Hebron\, Halhoul",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 87,missing,Library_87,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_87,SRP287708,missing
SRR12845718,WGS,GRCH38,146,40908755,PRJNA669945,SAMN16481330,Pathogen.cl,9197675,UCL,Arab American University,2020-06-22,public,"sra,bam,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312986,uncalculated,uncalculated,"State of Palestine: Hebron\, Hebron",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 86,missing,Library_86,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_86,SRP287708,missing
SRR12845719,WGS,GRCH38,146,27261439,PRJNA669945,SAMN16481329,Pathogen.cl,6802675,UCL,Arab American University,2020-06-22,public,"bam,activ_sars2_vcf,sra","gs,s3","gs.US,s3.us-east-1",SRX9312985,uncalculated,uncalculated,"State of Palestine: Hebron\, Halhoul",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 84,missing,Library_84,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_84,SRP287708,missing
SRR12845720,WGS,GRCH38,146,24936636,PRJNA669945,SAMN16481275,Pathogen.cl,6255063,UCL,Arab American University,2020-07-16,public,"activ_sars2_vcf,bam,sra","s3,gs","s3.us-east-1,gs.US",SRX9312984,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 10,missing,Library_10,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_10,SRP287708,missing
SRR12845721,WGS,GRCH38,146,2677107653,PRJNA669945,SAMN16481328,Pathogen.cl,677323906,UCL,Arab American University,2020-07-05,public,"sra,activ_sars2_vcf,bam","gs,s3","gs.US,s3.us-east-1",SRX9312983,uncalculated,uncalculated,"State of Palestine: Hebron\, Aroub",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 82,missing,Library_82,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_82,SRP287708,missing
SRR12845722,WGS,GRCH38,146,22771510,PRJNA669945,SAMN16481327,Pathogen.cl,5677566,UCL,Arab American University,2020-07-09,public,"sra,bam,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312982,uncalculated,uncalculated,"State of Palestine: Nablus\, Balata",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 80,missing,Library_80,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_80,SRP287708,missing
SRR12845723,WGS,GRCH38,146,17786889,PRJNA669945,SAMN16481326,Pathogen.cl,4264059,UCL,Arab American University,2020-06-27,public,"bam,sra,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",SRX9312981,uncalculated,uncalculated,"State of Palestine: Nablus\, Balata",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 78,missing,Library_78,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_78,SRP287708,missing
SRR12845724,WGS,GRCH38,146,74446249,PRJNA669945,SAMN16481325,Pathogen.cl,17689400,UCL,Arab American University,2020-06-26,public,"sra,activ_sars2_vcf,bam","gs,s3","s3.us-east-1,gs.US",SRX9312980,uncalculated,uncalculated,"State of Palestine: Nablus\, Der Hatab",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 77,missing,Library_77,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_77,SRP287708,missing
SRR12845725,WGS,GRCH38,146,60660207,PRJNA669945,SAMN16481324,Pathogen.cl,14542933,UCL,Arab American University,2020-06-26,public,"activ_sars2_vcf,sra,bam","s3,gs","gs.US,s3.us-east-1",SRX9312979,uncalculated,uncalculated,"State of Palestine: Nablus\, Der Hatab",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 76,missing,Library_76,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_76,SRP287708,missing
SRR12845726,WGS,GRCH38,146,9320733,PRJNA669945,SAMN16481323,Pathogen.cl,2479435,UCL,Arab American University,2020-07-10,public,"activ_sars2_vcf,bam,sra","gs,s3","s3.us-east-1,gs.US",SRX9312978,uncalculated,uncalculated,"State of Palestine: Nablus\, Majdal Ben Fadel",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 75,missing,Library_75,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_75,SRP287708,missing
SRR12845727,WGS,GRCH38,146,27836053,PRJNA669945,SAMN16481322,Pathogen.cl,6748129,UCL,Arab American University,2020-06-27,public,"bam,sra,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",SRX9312977,uncalculated,uncalculated,"State of Palestine: Nablus\, Balata",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 74,missing,Library_74,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_74,SRP287708,missing
SRR12845728,WGS,GRCH38,146,312341510,PRJNA669945,SAMN16481321,Pathogen.cl,75353634,UCL,Arab American University,2020-06-28,public,"bam,sra,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",SRX9312976,uncalculated,uncalculated,"State of Palestine: Nablus\, Nablus",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 73,missing,Library_73,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_73,SRP287708,missing
SRR12845729,WGS,GRCH38,146,861064663,PRJNA669945,SAMN16481320,Pathogen.cl,212970250,UCL,Arab American University,2020-06-26,public,"sra,activ_sars2_vcf,bam","gs,s3","gs.US,s3.us-east-1",SRX9312975,uncalculated,uncalculated,"State of Palestine: Nablus\, Der Hatab",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 72,missing,Library_72,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_72,SRP287708,missing
SRR12845730,WGS,GRCH38,145,1746998706,PRJNA669945,SAMN16481319,Pathogen.cl,443131442,UCL,Arab American University,2020-07-10,public,"bam,activ_sars2_vcf,sra","gs,s3","gs.US,s3.us-east-1",SRX9312974,uncalculated,uncalculated,"State of Palestine: Nablus\, Majdal Ben Fadel",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 71,missing,Library_71,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_71,SRP287708,missing
SRR12845731,WGS,GRCH38,146,3564918,PRJNA669945,SAMN16481274,Pathogen.cl,1177666,UCL,Arab American University,2020-07-17,public,"sra,activ_sars2_vcf,bam","s3,gs","s3.us-east-1,gs.US",SRX9312973,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 9,missing,Library_9,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_9,SRP287708,missing
SRR12845732,WGS,GRCH38,146,2061012,PRJNA669945,SAMN16481318,Pathogen.cl,781464,UCL,Arab American University,2020-07-10,public,"bam,sra,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312972,uncalculated,uncalculated,"State of Palestine: Nablus\, Majdal Ben Fadel",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 70,missing,Library_70,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_70,SRP287708,missing
SRR12845733,WGS,GRCH38,146,75538136,PRJNA669945,SAMN16481317,Pathogen.cl,18513576,UCL,Arab American University,2020-06-28,public,"sra,activ_sars2_vcf,bam","s3,gs","gs.US,s3.us-east-1",SRX9312971,uncalculated,uncalculated,"State of Palestine: Nablus\, Majdal Ben Fadel",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 69,missing,Library_69,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_69,SRP287708,missing
SRR12845734,WGS,GRCH38,146,249472646,PRJNA669945,SAMN16481316,Pathogen.cl,60814726,UCL,Arab American University,2020-07-09,public,"sra,activ_sars2_vcf,bam","s3,gs","s3.us-east-1,gs.US",SRX9312970,uncalculated,uncalculated,"State of Palestine: Nablus\, Dahieh",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 68,missing,Library_68,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_68,SRP287708,missing
